n,Xn,dXn,Xn+1,f(Xn),f(Xn+dXn),f(Xn+1),Rel. Err.,
0,1,0.01,-11.3355,3,3.00243,-4622.12,
1,-11.3355,-0.113355,-6.98725,-4622.12,-4742.61,-1382.15,0.622315,
2,-6.98725,-0.0698725,-4.09506,-1382.15,-1415.54,-411.03,0.706265,
3,-4.09506,-0.0409506,-2.18888,-411.03,-419.86,-120.774,0.870849,
4,-2.18888,-0.0218888,-0.959135,-120.774,-122.924,-34.5047,1.28214,
5,-0.959135,-0.00959135,-0.206267,-34.5047,-34.9442,-9.16627,3.64996,
6,-0.206267,-0.00206267,0.19561,-9.16627,-9.21332,-1.97041,2.05448,
7,0.19561,0.0019561,0.343409,-1.97041,-1.94433,-0.220443,0.430387,
8,0.343409,0.00343409,0.364731,-0.220443,-0.184939,-0.00365771,0.0584596,
9,0.364731,0.00364731,0.365099,-0.00365771,0.0325557,1.14797e-05,0.00100902,
10,0.365099,0.00365099,0.365098,1.14797e-05,0.0362358,-4.01522e-08,3.16907e-06,
