n,Xn,Xn+1,f(Xn),f'(Xn),f(Xn+1),Rel. Err.,
0,1,-9,3,0.3,-2570,
1,-9,-5.40207,-2570,714.3,-757.341,0.666027,
2,-5.40207,-3.02947,-757.341,319.203,-221.608,0.783174,
3,-3.02947,-1.48684,-221.608,143.656,-63.7561,1.03752,
4,-1.48684,-0.517257,-63.7561,65.7562,-17.5626,1.87447,
5,-0.517257,0.0418994,-17.5626,31.4092,-4.27877,13.3452,
6,0.0418994,0.297653,-4.27877,16.7301,-0.715392,0.859234,
7,0.297653,0.36115,-0.715392,11.2665,-0.0394606,0.17582,
8,0.36115,0.365083,-0.0394606,10.0317,-0.000147386,0.0107745,
9,0.365083,0.365098,-0.000147386,9.95676,-2.08369e-09,4.05441e-05,
