n,Xn-1,Xn,Xn+1,f(Xn+1),Rel. Err.,
0,2,1,1.88235,9.90622e-05,
1,1.88235,1,1.94568,0.200896,0.0325478,
2,1.94568,1,1.90861,-0.122407,0.0194242,
3,1.90861,1,1.92939,0.067081,0.010771,
4,1.92939,1,1.91743,-0.0390918,0.00623475,
5,1.91743,1,1.92421,0.022005,0.00352306,
6,1.92421,1,1.92034,-0.0126353,0.00201853,
7,1.92034,1,1.92254,0.00717381,0.00114746,
8,1.92254,1,1.92128,-0.00409933,0.00065523,
9,1.92128,1,1.922,0.0023339,0.000373197,
10,1.922,1,1.92159,-0.00133156,0.000212871,
11,1.92159,1,1.92183,0.000758787,0.00012132,
12,1.92183,1,1.92169,-0.000432688,6.91761e-05,
